spotifyId,spotifyUri,name,artist,album,duration,genre,sadnessScore,joyScore,angerScore,fearScore,surpriseScore,danceability,energy,valence,acousticness,instrumentalness
0Uncdp3vDqLcYz2YU4FNFz,spotify:track:0Uncdp3vDqLcYz2YU4FNFz,Amar É Isso,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),202813,sertanejo,0.1164654130116103,0.4145869176136325,0.1239523898111654,0.1124332173494621,0.0120109892450272,,,,,
0SREZ8C63kIXehfB6L3T49,spotify:track:0SREZ8C63kIXehfB6L3T49,Amargurado,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),292346,sertanejo,0.0430976534960789,0.9109291404020038,0.0214396601775658,0.0088446165435015,0.0089807721378746,,,,,
0SREZ8C63kIXehfB6L3T49,spotify:track:0SREZ8C63kIXehfB6L3T49,Amargurado / Sem Você / Ainda Ontem Chorei de Saudade,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),292346,sertanejo,0.3126485847868023,0.5606366181746119,0.0516241318080572,0.0356673413887619,0.0147669131984001,,,,,
0YeMeHhCgN4USVPARWvpTY,spotify:track:0YeMeHhCgN4USVPARWvpTY,Aos Olhos do Tempo,/paula-fernandes/,Meus Encantos (Brazil Version),212813,sertanejo,0.1893154514138584,0.078563096758443,0.20379242550116,0.176235951646231,0.0083468242664819,,,,,
074CPZrgFC3zBgUPglwwsp,spotify:track:074CPZrgFC3zBgUPglwwsp,Apaixonados Pela Lua,/paula-fernandes/,Pássaro De Fogo,241200,sertanejo,0.1380774356250183,0.3035014368360855,0.1478500883560625,0.134179873438552,0.0134716308675704,,,,,
7uJsUSzkQyAXCmCXeYUxvi,spotify:track:7uJsUSzkQyAXCmCXeYUxvi,Apenas Flor,/paula-fernandes/,Paula Fernandes Ao Vivo (Deluxe Edition),239480,sertanejo,0.1940909677185115,0.0514797756331967,0.3543238678947089,0.1277301654452457,0.0278265165397895,,,,,
2j6g3KUNgrNTErWZff1FED,spotify:track:2j6g3KUNgrNTErWZff1FED,Ave Maria Natureza,/paula-fernandes/,Canções Do Vento Sul,131213,sertanejo,0.1992319040931759,0.0310909484396684,0.1990992013365028,0.1905967759434133,0.00420870113885,,,,,
75vUKu4YQHXAmypsVhggVt,spotify:track:75vUKu4YQHXAmypsVhggVt,Barco de Papel,/paula-fernandes/,Meus Encantos (Brazil Version),215973,sertanejo,0.7172619683668018,0.0618753239978099,0.0973976880311964,0.0505878284573553,0.0182595810620112,,,,,
5PwyRCUJG50oKug0ts7iqr,spotify:track:5PwyRCUJG50oKug0ts7iqr,Brincar de Ser Feliz (Com Chitãozinho e Xororó),/paula-fernandes/,Elas Em Evidências (Ao Vivo),257834,sertanejo,0.1030016665114087,0.4860469807172188,0.1268395530292761,0.0938441712874917,0.0114551091683096,,,,,
6N41niZGasDqCeDdD5zSdX,spotify:track:6N41niZGasDqCeDdD5zSdX,Cartas no Porão,/paula-fernandes/,Amanhecer (Ao Vivo),193013,sertanejo,0.3555406827479598,0.3368987707654009,0.2104559635743498,0.0295050197280942,0.0359304188750682,,,,,
4SMJNg4gvwohcQbXOB3ptj,spotify:track:4SMJNg4gvwohcQbXOB3ptj,Céu Vermelho,/paula-fernandes/,Meus Encantos (Brazil Version),196733,sertanejo,0.1357746103778479,0.7567789359018201,0.0395437924191353,0.0234205702319741,0.0219217441044747,,,,,
24EnNwEbLZF7BlzMiJZO7B,spotify:track:24EnNwEbLZF7BlzMiJZO7B,Chão de Areia,/paula-fernandes/,Hora Certa,217125,sertanejo,0.2329536686651406,0.0527026974013999,0.2032116077374664,0.1580862724571488,0.043661562609486,,,,,
1BfhDGn8qxeHORg7mWCAWv,spotify:track:1BfhDGn8qxeHORg7mWCAWv,Chuva Chover,/paula-fernandes/,Pássaro De Fogo,239680,sertanejo,0.2593167606741188,0.0534476126777003,0.2396758800372478,0.1506773737259208,0.0194406126393003,,,,,
3fi3DFi4pfCwmCn9LhUH8R,spotify:track:3fi3DFi4pfCwmCn9LhUH8R,Chuva de Prata,/paula-fernandes/,"Um Barzinho, Um Violão - Novelas Anos 80 - Vol. 1",176506,sertanejo,0.1875921690836546,0.3137899958528572,0.1310334208421406,0.17701408714056,0.028403860516846,,,,,
3GtfDwdSfzGho9RNks0STp,spotify:track:3GtfDwdSfzGho9RNks0STp,Complicados Demais,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),206586,sertanejo,0.1947514410829168,0.1050237519666545,0.2020732699427752,0.1624996230937539,0.0339488161262123,,,,,
755bhugSWCJx6sN2l4gQz9,spotify:track:755bhugSWCJx6sN2l4gQz9,Coração na Contra-Mão,/paula-fernandes/,Multishow Ao Vivo Paula Fernandes - Um Ser Amor,198080,sertanejo,0.7121295983903106,0.0574282993329682,0.1099069243296978,0.0449092065915464,0.0194243515143168,,,,,
00R6XMdGkhuFtTLX2oNpXX,spotify:track:00R6XMdGkhuFtTLX2oNpXX,Dança Menina,/paula-fernandes/,Pássaro De Fogo,226893,sertanejo,0.1918035219699956,0.0383212935412298,0.1950902720913289,0.1907226167153565,0.0048670998075975,,,,,
054iwsqbsQ7E6YjipJMYQJ,spotify:track:054iwsqbsQ7E6YjipJMYQJ,Dança Viva,/paula-fernandes/,Canções Do Vento Sul,217946,sertanejo,0.1154320935951542,0.0758654343662776,0.1194129801355299,0.5390488669276238,0.02063127560541,,,,,
01Pdu8F54INs1PKjWrEyLS,spotify:track:01Pdu8F54INs1PKjWrEyLS,Debaixo do Cacho,/paula-fernandes/,Pássaro De Fogo,184026,sertanejo,0.0377534435247068,0.8082948054652656,0.0438701931852845,0.0342460590763947,0.0125301807420326,,,,,
61OSfwNmjYYVH2Idw9Jpp6,spotify:track:61OSfwNmjYYVH2Idw9Jpp6,Depende da Gente,/paula-fernandes/,Amanhecer,215173,sertanejo,0.1880626314668914,0.0546415218559551,0.1990650561638174,0.1843212256208061,0.0077819558209737,,,,,
6fjkvZkZXnBU89lXn3QXi6,spotify:track:6fjkvZkZXnBU89lXn3QXi6,Depois (Com Victor e Leo),/paula-fernandes/,Encontros Pelo Caminho,195653,sertanejo,0.0834471583599222,0.5767166945151979,0.0960686186095697,0.0785785832209511,0.0176512983161954,,,,,
58bbrtWVpMoYyDbj997mia,spotify:track:58bbrtWVpMoYyDbj997mia,"Desculpe, Mas Eu Vou Chorar",/paula-fernandes/,Amanhecer (Ao Vivo),202760,sertanejo,0.8104801421053707,0.0533623405499376,0.0559617018792776,0.0247222982347011,0.0188830392435192,,,,,
3q5nULD53127kxeyyTifAp,spotify:track:3q5nULD53127kxeyyTifAp,Diga (Dime),/paula-fernandes/,Multishow Ao Vivo Paula Fernandes - Um Ser Amor (Deluxe Version / Multishow Ao Vivo / 2013),250533,sertanejo,0.0843844674527642,0.5913793675135817,0.0981438653543589,0.0730119126383214,0.0156809660256838,,,,,
4SKeKA8T666CF5wOM1A4lo,spotify:track:4SKeKA8T666CF5wOM1A4lo,Dos Palabras (Feat. Pablo López),/paula-fernandes/,El Mundo Y Los Amantes Inocentes (Edición Especial),189772,sertanejo,0.1997650681179945,0.0240802720072673,0.2489585339091716,0.1908959856256841,0.0119723711395633,,,,,
7p0N9OufD8edpkYbdFfzjr,spotify:track:7p0N9OufD8edpkYbdFfzjr,E Eu?,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),217026,sertanejo,0.3026984052732585,0.0322038000449533,0.3114115500822662,0.1240750791504977,0.0165482497541231,,,,,
1I2EH4z8pXrbN3R7BFvqSP,spotify:track:1I2EH4z8pXrbN3R7BFvqSP,Espaço Sideral,/paula-fernandes/,Pássaro De Fogo,198320,sertanejo,0.2116410735063253,0.0966276317485603,0.1890955723822116,0.169692698214203,0.0212904175277796,,,,,
205R1pcndV4FFOdOofx7vB,spotify:track:205R1pcndV4FFOdOofx7vB,Eu Sem Você (Com Mickael Carreira),/paula-fernandes/,Meus Encantos (Brazil Version),233506,sertanejo,0.175203139428049,0.4089880031533532,0.1573556023649868,0.0869034184142945,0.0198958392720667,,,,,
2NKSDjttcgvdDaX0UqaYDy,spotify:track:2NKSDjttcgvdDaX0UqaYDy,Eu Sem Você / Um Ser Amor,/paula-fernandes/,"Origens (Ao Vivo Em Sete Lagoas, Brazil / 2019)",370603,sertanejo,0.1516120715998111,0.4860428626416246,0.1429744738154111,0.0748904662206768,0.0161451171152291,,,,,
46MKmb3MFuA4I8553HLEcI,spotify:track:46MKmb3MFuA4I8553HLEcI,Eu Vim Te Ver,/paula-fernandes/,Amanhecer (Ao Vivo),215533,sertanejo,0.3512967532500622,0.1088608741411003,0.2261982905678449,0.1132662287913261,0.0256585928145793,,,,,
2OffOV96Zjd6XYvwxIMUC5,spotify:track:2OffOV96Zjd6XYvwxIMUC5,Evidências / Vida Vazia / Cadê Você?,/paula-fernandes/,"Origens (Ao Vivo Em Sete Lagoas, Brazil / 2019)",262000,sertanejo,0.1304048240650443,0.5534869289258486,0.1600439016707239,0.0541900956537573,0.0205623107030986,,,,,
2CvxdnaKr3Z0bCFoCrcBnh,spotify:track:2CvxdnaKr3Z0bCFoCrcBnh,Falar de Fim,/paula-fernandes/,Amanhecer,211466,sertanejo,0.1747476569842545,0.1306127211137204,0.2606431396678088,0.1422263010870664,0.0170137422392143,,,,,
2FjMhVDttObXjOERqrzCQ7,spotify:track:2FjMhVDttObXjOERqrzCQ7,Fingindo Paixão,/paula-fernandes/,"Origens (Ao Vivo Em Sete Lagoas, Brazil / 2019)",193850,sertanejo,0.2215905306860802,0.0618529100902372,0.4042281681671736,0.1002092350739984,0.025120837963186,,,,,
3JlhbIjjqjcQ4AKlMPI4u7,spotify:track:3JlhbIjjqjcQ4AKlMPI4u7,Harmonia do Amor (part. Zé Ramalho),/paula-fernandes/,Meus Encantos (Brazil Version),251120,sertanejo,0.1655191526166161,0.1202645808225493,0.1683983215130862,0.1600055095273999,0.0804737897124139,,,,,
5bH7JBxDpGbJ4P0xPUdh1R,spotify:track:5bH7JBxDpGbJ4P0xPUdh1R,Hora Certa,/paula-fernandes/,"Origens (Ao Vivo Em Sete Lagoas, Brazil / 2019)",230000,sertanejo,0.0617126876721155,0.6861368363024662,0.06624359289417,0.0592767481692134,0.0169387070927767,,,,,
4IUiif3fNbaNd4ie5oWSEn,spotify:track:4IUiif3fNbaNd4ie5oWSEn,Hoy Me Voy,/paula-fernandes/,Tr3s Presents Juanes MTV Unplugged,259373,sertanejo,0.0670373750384894,0.7704696335131297,0.0786866346374152,0.0506732124835251,0.0142350565874947,,,,,
3D8qZfUC7myGgKizSrWbR7,spotify:track:3D8qZfUC7myGgKizSrWbR7,Ilusão (Com Zé Henrique e Gabriel),/paula-fernandes/,Histórico (Ao Vivo),142933,sertanejo,0.1879888991825279,0.0392421521246427,0.2522588095162061,0.1747930229175834,0.0126930963015182,,,,,
4FXyCcHXy9Uajo5Ss3utEg,spotify:track:4FXyCcHXy9Uajo5Ss3utEg,Índia (Part. Leonardo),/paula-fernandes/,Encontros Pelo Caminho,214626,sertanejo,0.1518185463035475,0.2610532002290706,0.1543403069488702,0.1434782985132186,0.0117786489427087,,,,,
0Uncdp3vDqLcYz2YU4FNFz,spotify:track:0Uncdp3vDqLcYz2YU4FNFz,Isso É Amar Você,/paula-fernandes/,Paula Fernandes Ao Vivo (Live From São Paulo / 2010),202813,sertanejo,0.0754367281217125,0.615877407311927,0.1033334176056085,0.0659066938562317,0.0152441610116511,,,,,
